N,L,r,num_samples,model,gens,ancestors
1000000.0,1000000.0,1e-08,10000,100000,1,10068
1000000.0,1000000.0,1e-08,10000,100000,1,10080
1000000.0,1000000.0,1e-08,10000,100000,1,10084
1000000.0,1000000.0,1e-08,10000,100000,1,10080
1000000.0,1000000.0,1e-08,10000,100000,1,10075
1000000.0,1000000.0,1e-08,10000,100000,1,10079
1000000.0,1000000.0,1e-08,10000,100000,1,10060
1000000.0,1000000.0,1e-08,10000,100000,1,10066
1000000.0,1000000.0,1e-08,10000,100000,1,10072
1000000.0,1000000.0,1e-08,10000,100000,1,10054
1000000.0,1000000.0,1e-08,10000,100000,1,10085
1000000.0,1000000.0,1e-08,10000,100000,1,10101
1000000.0,1000000.0,1e-08,10000,100000,1,10068
1000000.0,1000000.0,1e-08,10000,100000,1,10062
1000000.0,1000000.0,1e-08,10000,100000,1,10069
1000000.0,1000000.0,1e-08,10000,100000,1,10089
1000000.0,1000000.0,1e-08,10000,100000,1,10069
1000000.0,1000000.0,1e-08,10000,1000000,1,10052
1000000.0,1000000.0,1e-08,10000,100000,1,10081
1000000.0,1000000.0,1e-08,10000,100000,1,10078
1000000.0,1000000.0,1e-08,10000,100000,1,10080
1000000.0,1000000.0,1e-08,10000,100000,1,10081
1000000.0,1000000.0,1e-08,10000,100000,1,10075
1000000.0,1000000.0,1e-08,10000,100000,1,10070
1000000.0,1000000.0,1e-08,10000,100000,1,10045
1000000.0,1000000.0,1e-08,10000,1000000,1,10071
1000000.0,1000000.0,1e-08,10000,1000000,1,10071
1000000.0,1000000.0,1e-08,10000,1000000,1,10076
1000000.0,1000000.0,1e-08,10000,1000000,1,10068
1000000.0,1000000.0,1e-08,10000,1000000,1,10082
1000000.0,1000000.0,1e-08,10000,1000000,1,10078
1000000.0,1000000.0,1e-08,10000,1000000,1,10063
1000000.0,1000000.0,1e-08,10000,1000000,1,10071
1000000.0,1000000.0,1e-08,10000,1000000,1,10082
1000000.0,1000000.0,1e-08,10000,1000000,1,10080
1000000.0,1000000.0,1e-08,10000,1000000,1,10068
1000000.0,1000000.0,1e-08,10000,1000000,1,10074
1000000.0,1000000.0,1e-08,10000,1000000,1,10084
1000000.0,1000000.0,1e-08,10000,1000000,1,10074
1000000.0,1000000.0,1e-08,10000,1000000,1,10080
1000000.0,1000000.0,1e-08,10000,1000000,1,10068
1000000.0,1000000.0,1e-08,10000,1000000,1,10080
1000000.0,1000000.0,1e-08,10000,1000000,1,10077
1000000.0,1000000.0,1e-08,10000,1000000,1,10075
1000000.0,1000000.0,1e-08,10000,smc_k,1,10083
1000000.0,1000000.0,1e-08,10000,1000000,1,10078
1000000.0,1000000.0,1e-08,10000,1000000,1,10070
1000000.0,1000000.0,1e-08,10000,smc_k,1,10089
1000000.0,1000000.0,1e-08,10000,1000000,1,10065
1000000.0,1000000.0,1e-08,10000,1000000,1,10085
1000000.0,1000000.0,1e-08,10000,smc_k,1,10110
1000000.0,1000000.0,1e-08,10000,smc_k,1,10064
1000000.0,1000000.0,1e-08,10000,1000000,1,10060
1000000.0,1000000.0,1e-08,10000,smc_k,1,10072
1000000.0,1000000.0,1e-08,10000,smc_k,1,10079
1000000.0,1000000.0,1e-08,10000,smc_k,1,10079
1000000.0,1000000.0,1e-08,10000,smc_k,1,10088
1000000.0,1000000.0,1e-08,10000,smc_k,1,10082
1000000.0,1000000.0,1e-08,10000,smc_k,1,10077
1000000.0,1000000.0,1e-08,10000,smc_k,1,10076
1000000.0,1000000.0,1e-08,10000,smc_k,1,10077
1000000.0,1000000.0,1e-08,10000,smc_k,1,10073
1000000.0,1000000.0,1e-08,10000,smc_k,1,10070
1000000.0,1000000.0,1e-08,10000,smc_k,1,10082
1000000.0,1000000.0,1e-08,10000,smc_k,1,10081
1000000.0,1000000.0,1e-08,10000,smc_k,1,10094
1000000.0,1000000.0,1e-08,10000,smc_k,1,10063
1000000.0,1000000.0,1e-08,10000,smc_k,1,10067
1000000.0,1000000.0,1e-08,10000,smc_k,1,10072
1000000.0,1000000.0,1e-08,10000,smc_k,1,10081
1000000.0,1000000.0,1e-08,10000,Hudson,1,10057
1000000.0,1000000.0,1e-08,10000,smc_k,1,10076
1000000.0,1000000.0,1e-08,10000,smc_k,1,10059
1000000.0,1000000.0,1e-08,10000,Hudson,1,10093
1000000.0,1000000.0,1e-08,10000,Hudson,1,10090
1000000.0,1000000.0,1e-08,10000,Hudson,1,10068
1000000.0,1000000.0,1e-08,10000,Hudson,1,10065
1000000.0,1000000.0,1e-08,10000,Hudson,1,10071
1000000.0,1000000.0,1e-08,10000,Hudson,1,10075
1000000.0,1000000.0,1e-08,10000,smc_k,1,10067
1000000.0,1000000.0,1e-08,10000,Hudson,1,10075
1000000.0,1000000.0,1e-08,10000,smc_k,1,10086
1000000.0,1000000.0,1e-08,10000,Hudson,1,10088
1000000.0,1000000.0,1e-08,10000,Hudson,1,10076
1000000.0,1000000.0,1e-08,10000,Hudson,1,10077
1000000.0,1000000.0,1e-08,10000,Hudson,1,10073
1000000.0,1000000.0,1e-08,10000,Hudson,1,10083
1000000.0,1000000.0,1e-08,10000,Hudson,1,10076
1000000.0,1000000.0,1e-08,10000,Hudson,1,10080
1000000.0,1000000.0,1e-08,10000,Hudson,1,10101
1000000.0,1000000.0,1e-08,10000,Hudson,1,10088
1000000.0,1000000.0,1e-08,10000,Hudson,1,10080
1000000.0,1000000.0,1e-08,10000,Hudson,1,10057
1000000.0,1000000.0,1e-08,10000,Hudson,1,10078
1000000.0,1000000.0,1e-08,10000,Hudson,1,10096
1000000.0,1000000.0,1e-08,10000,Hudson,1,10074
1000000.0,1000000.0,1e-08,10000,Hudson,1,10070
1000000.0,1000000.0,1e-08,10000,Hudson,1,10070
1000000.0,1000000.0,1e-08,10000,Hudson,1,10083
1000000.0,1000000.0,1e-08,10000,dtwf,1,10067
1000000.0,1000000.0,1e-08,10000,dtwf,1,10077
1000000.0,1000000.0,1e-08,10000,dtwf,1,10081
1000000.0,1000000.0,1e-08,10000,dtwf,1,10068
1000000.0,1000000.0,1e-08,10000,dtwf,1,10058
1000000.0,1000000.0,1e-08,10000,dtwf,1,10068
1000000.0,1000000.0,1e-08,10000,dtwf,1,10081
1000000.0,1000000.0,1e-08,10000,dtwf,1,10059
1000000.0,1000000.0,1e-08,10000,dtwf,1,10047
1000000.0,1000000.0,1e-08,10000,dtwf,1,10076
1000000.0,1000000.0,1e-08,10000,dtwf,1,10073
1000000.0,1000000.0,1e-08,10000,dtwf,1,10064
1000000.0,1000000.0,1e-08,10000,dtwf,1,10070
1000000.0,1000000.0,1e-08,10000,dtwf,1,10082
1000000.0,1000000.0,1e-08,10000,dtwf,1,10068
1000000.0,1000000.0,1e-08,10000,dtwf,1,10065
1000000.0,1000000.0,1e-08,10000,dtwf,1,10078
1000000.0,1000000.0,1e-08,10000,dtwf,1,10079
1000000.0,1000000.0,1e-08,10000,dtwf,1,10075
1000000.0,1000000.0,1e-08,10000,dtwf,1,10084
1000000.0,1000000.0,1e-08,10000,dtwf,1,10076
1000000.0,1000000.0,1e-08,10000,dtwf,1,10084
1000000.0,1000000.0,1e-08,10000,dtwf,1,10084
1000000.0,1000000.0,1e-08,10000,dtwf,1,10066
1000000.0,1000000.0,1e-08,10000,10,5,10331
1000000.0,1000000.0,1e-08,10000,10,5,10392
1000000.0,1000000.0,1e-08,10000,dtwf,1,10049
1000000.0,1000000.0,1e-08,10000,10,5,10419
1000000.0,1000000.0,1e-08,10000,10,5,10336
1000000.0,1000000.0,1e-08,10000,10,5,10387
1000000.0,1000000.0,1e-08,10000,10,5,10394
1000000.0,1000000.0,1e-08,10000,10,5,10341
1000000.0,1000000.0,1e-08,10000,10,5,10375
1000000.0,1000000.0,1e-08,10000,10,5,10417
1000000.0,1000000.0,1e-08,10000,10,5,10374
1000000.0,1000000.0,1e-08,10000,10,5,10379
1000000.0,1000000.0,1e-08,10000,10,5,10344
1000000.0,1000000.0,1e-08,10000,10,5,10323
1000000.0,1000000.0,1e-08,10000,10,5,10393
1000000.0,1000000.0,1e-08,10000,10,5,10354
1000000.0,1000000.0,1e-08,10000,10,5,10401
1000000.0,1000000.0,1e-08,10000,10,5,10360
1000000.0,1000000.0,1e-08,10000,10,5,10348
1000000.0,1000000.0,1e-08,10000,10,5,10350
1000000.0,1000000.0,1e-08,10000,100,5,10355
1000000.0,1000000.0,1e-08,10000,100,5,10346
1000000.0,1000000.0,1e-08,10000,100,5,10299
1000000.0,1000000.0,1e-08,10000,10,5,10394
1000000.0,1000000.0,1e-08,10000,10,5,10358
1000000.0,1000000.0,1e-08,10000,10,5,10381
1000000.0,1000000.0,1e-08,10000,10,5,10351
1000000.0,1000000.0,1e-08,10000,100,5,10369
1000000.0,1000000.0,1e-08,10000,10,5,10342
1000000.0,1000000.0,1e-08,10000,10,5,10360
1000000.0,1000000.0,1e-08,10000,100,5,10380
1000000.0,1000000.0,1e-08,10000,100,5,10356
1000000.0,1000000.0,1e-08,10000,100,5,10364
1000000.0,1000000.0,1e-08,10000,100,5,10338
1000000.0,1000000.0,1e-08,10000,100,5,10384
1000000.0,1000000.0,1e-08,10000,100,5,10321
1000000.0,1000000.0,1e-08,10000,100,5,10379
1000000.0,1000000.0,1e-08,10000,100,5,10351
1000000.0,1000000.0,1e-08,10000,100,5,10389
1000000.0,1000000.0,1e-08,10000,100,5,10364
1000000.0,1000000.0,1e-08,10000,100,5,10362
1000000.0,1000000.0,1e-08,10000,100,5,10329
1000000.0,1000000.0,1e-08,10000,100,5,10380
1000000.0,1000000.0,1e-08,10000,100,5,10350
1000000.0,1000000.0,1e-08,10000,100,5,10363
1000000.0,1000000.0,1e-08,10000,100,5,10384
1000000.0,1000000.0,1e-08,10000,100,5,10409
1000000.0,1000000.0,1e-08,10000,100,5,10394
1000000.0,1000000.0,1e-08,10000,100,5,10374
1000000.0,1000000.0,1e-08,10000,1000,5,10381
1000000.0,1000000.0,1e-08,10000,1000,5,10387
1000000.0,1000000.0,1e-08,10000,1000,5,10361
1000000.0,1000000.0,1e-08,10000,100,5,10417
1000000.0,1000000.0,1e-08,10000,100,5,10386
1000000.0,1000000.0,1e-08,10000,1000,5,10389
1000000.0,1000000.0,1e-08,10000,1000,5,10374
1000000.0,1000000.0,1e-08,10000,1000,5,10393
1000000.0,1000000.0,1e-08,10000,1000,5,10325
1000000.0,1000000.0,1e-08,10000,1000,5,10373
1000000.0,1000000.0,1e-08,10000,1000,5,10400
1000000.0,1000000.0,1e-08,10000,1000,5,10348
1000000.0,1000000.0,1e-08,10000,1000,5,10365
1000000.0,1000000.0,1e-08,10000,1000,5,10381
1000000.0,1000000.0,1e-08,10000,1000,5,10404
1000000.0,1000000.0,1e-08,10000,1000,5,10412
1000000.0,1000000.0,1e-08,10000,1000,5,10368
1000000.0,1000000.0,1e-08,10000,1000,5,10353
1000000.0,1000000.0,1e-08,10000,1000,5,10373
1000000.0,1000000.0,1e-08,10000,1000,5,10346
1000000.0,1000000.0,1e-08,10000,1000,5,10360
1000000.0,1000000.0,1e-08,10000,1000,5,10347
1000000.0,1000000.0,1e-08,10000,1000,5,10361
1000000.0,1000000.0,1e-08,10000,1000,5,10367
1000000.0,1000000.0,1e-08,10000,1000,5,10378
1000000.0,1000000.0,1e-08,10000,1000,5,10388
1000000.0,1000000.0,1e-08,10000,1000,5,10389
1000000.0,1000000.0,1e-08,10000,10000,5,10364
1000000.0,1000000.0,1e-08,10000,10000,5,10356
1000000.0,1000000.0,1e-08,10000,10000,5,10332
1000000.0,1000000.0,1e-08,10000,10000,5,10378
1000000.0,1000000.0,1e-08,10000,10000,5,10389
1000000.0,1000000.0,1e-08,10000,10000,5,10361
1000000.0,1000000.0,1e-08,10000,10000,5,10374
1000000.0,1000000.0,1e-08,10000,10000,5,10339
1000000.0,1000000.0,1e-08,10000,10000,5,10343
1000000.0,1000000.0,1e-08,10000,10000,5,10379
1000000.0,1000000.0,1e-08,10000,10000,5,10341
1000000.0,1000000.0,1e-08,10000,10000,5,10328
1000000.0,1000000.0,1e-08,10000,10000,5,10386
1000000.0,1000000.0,1e-08,10000,10000,5,10388
1000000.0,1000000.0,1e-08,10000,10000,5,10370
1000000.0,1000000.0,1e-08,10000,10000,5,10327
1000000.0,1000000.0,1e-08,10000,10000,5,10365
1000000.0,1000000.0,1e-08,10000,10000,5,10370
1000000.0,1000000.0,1e-08,10000,10000,5,10380
1000000.0,1000000.0,1e-08,10000,10000,5,10425
1000000.0,1000000.0,1e-08,10000,10000,5,10352
1000000.0,1000000.0,1e-08,10000,10000,5,10362
1000000.0,1000000.0,1e-08,10000,10000,5,10309
1000000.0,1000000.0,1e-08,10000,100000,5,10391
1000000.0,1000000.0,1e-08,10000,10000,5,10366
1000000.0,1000000.0,1e-08,10000,100000,5,10338
1000000.0,1000000.0,1e-08,10000,100000,5,10383
1000000.0,1000000.0,1e-08,10000,100000,5,10385
1000000.0,1000000.0,1e-08,10000,10000,5,10330
1000000.0,1000000.0,1e-08,10000,100000,5,10378
1000000.0,1000000.0,1e-08,10000,100000,5,10392
1000000.0,1000000.0,1e-08,10000,100000,5,10349
1000000.0,1000000.0,1e-08,10000,100000,5,10354
1000000.0,1000000.0,1e-08,10000,100000,5,10360
1000000.0,1000000.0,1e-08,10000,100000,5,10406
1000000.0,1000000.0,1e-08,10000,100000,5,10329
1000000.0,1000000.0,1e-08,10000,100000,5,10355
1000000.0,1000000.0,1e-08,10000,100000,5,10360
1000000.0,1000000.0,1e-08,10000,100000,5,10367
1000000.0,1000000.0,1e-08,10000,100000,5,10353
1000000.0,1000000.0,1e-08,10000,100000,5,10396
1000000.0,1000000.0,1e-08,10000,100000,5,10348
1000000.0,1000000.0,1e-08,10000,100000,5,10333
1000000.0,1000000.0,1e-08,10000,100000,5,10395
1000000.0,1000000.0,1e-08,10000,100000,5,10410
1000000.0,1000000.0,1e-08,10000,100000,5,10386
1000000.0,1000000.0,1e-08,10000,100000,5,10358
1000000.0,1000000.0,1e-08,10000,1000000,5,10385
